UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,no_rand
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,6561
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,221
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,631
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,3180
5,L47184,L,298.2,308.7,1408,40,9,0,0,0,0,0,0,2312
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,3366
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,1528
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,3700
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,4176
10,M14869,M,298.5,309,1741,28,21,0,0,0,0,0,0,6860
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,1280
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,5452
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,6011
14,M14873,M,298.6,309.2,1742,30,37,0,0,0,0,0,0,9548
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,3125
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,5844
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,9753
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,142
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,8190
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,4868
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,7097
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,5847
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,7364
24,L47203,L,299,309.4,1758,25.7,68,0,0,0,0,0,0,7692
25,M14884,M,299,309.4,1561,37.3,70,0,0,0,0,0,0,5572
26,L47205,L,299,309.5,1861,23.3,73,0,0,0,0,0,0,6910
27,L47206,L,299.1,309.5,1512,39,75,0,0,0,0,0,0,3585
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,9479
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,660
30,L47209,L,299,309.4,1693,30.1,84,0,0,0,0,0,0,137
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,3287
32,L47211,L,299,309.4,1798,25.5,89,0,0,0,0,0,0,4281
33,L47212,L,299,309.4,1419,48.3,91,0,0,0,0,0,0,9
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,4780
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,4345
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,8746
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,1330
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,2545
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,6467
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,9630
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,4159
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,4326
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,7350
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,7032
